;Albany;Athens;Chicago;Cincinnati;Huntsville;Indianapolis;Jackson;Louisville;Madison ;Nashville;New York;Ocean city;Ottawa;Quebec, CA;Richmond;Syracuse;Worcester
Albany;0;;;;;;;;;;;;;;;;
Athens;0;0;;;;;;;;;;;;;;;
Chicago;0;1;0;;;;;;;;;;;;;;
Cincinnati;0;1;1;0;;;;;;;;;;;;;
Huntsville;0;0;0;0;0;;;;;;;;;;;;
Indianapolis;0;1;1;1;0;0;;;;;;;;;;;
Jackson;0;0;0;0;1;0;0;;;;;;;;;;
Louisville;0;0;0;1;0;1;0;0;;;;;;;;;
Madison ;1;0;0;0;0;0;1;0;0;;;;;;;;
Nashville;0;0;0;1;0;1;1;0;0;0;;;;;;;
New York;1;0;0;0;0;0;0;1;1;0;0;;;;;;
Ocean city;1;0;0;0;0;0;0;1;1;1;1;0;;;;;
Ottawa;0;0;1;1;0;0;0;0;0;0;0;0;0;;;;
Quebec, CA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
Richmond;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;;
Syracuse;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;
Worcester;1;0;0;0;1;1;1;0;0;0;1;1;0;1;1;1;0
